DateTime,Currency,Impact,Event,Actual,Forecast,Previous,Detail
2021-09-03T13:30:00+01:00,USD,High Impact Expected,Non-Farm Employment Change,235K,720K,1053K,
2021-09-03T13:30:00+01:00,USD,High Impact Expected,Unemployment Rate,5.2%,5.2%,5.4%,
2021-09-03T15:00:00+01:00,USD,High Impact Expected,ISM Services PMI,61.7,61.9,64.1,
2021-09-07T05:30:00+01:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2021-09-08T15:00:00+01:00,CAD,High Impact Expected,BOC Rate Statement,,,,
2021-09-08T16:00:00+01:00,GBP,High Impact Expected,Monetary Policy Report Hearings,,,,
2021-09-09T12:45:00+01:00,EUR,High Impact Expected,Monetary Policy Statement,,,,
2021-09-09T13:30:00+01:00,EUR,High Impact Expected,ECB Press Conference,,,,
2021-09-09T17:00:00+01:00,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,
2021-09-10T13:30:00+01:00,CAD,High Impact Expected,Unemployment Rate,7.1%,7.3%,7.5%,
2021-09-10T13:30:00+01:00,CAD,High Impact Expected,Employment Change,90.2K,67.2K,94.0K,
2021-09-10T13:30:00+01:00,USD,High Impact Expected,PPI m/m,0.7%,0.6%,1.0%,
2021-09-14T03:45:00+01:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2021-09-14T13:30:00+01:00,USD,High Impact Expected,Core CPI m/m,0.1%,0.3%,0.3%,
2021-09-14T13:30:00+01:00,USD,High Impact Expected,CPI m/m,0.3%,0.4%,0.5%,
2021-09-14T13:30:00+01:00,USD,High Impact Expected,CPI y/y,5.3%,5.3%,5.4%,
2021-09-15T07:00:00+01:00,GBP,High Impact Expected,CPI y/y,3.2%,2.9%,2.0%,
2021-09-15T13:30:00+01:00,CAD,High Impact Expected,CPI m/m,0.2%,0.1%,0.6%,
2021-09-15T23:45:00+01:00,NZD,High Impact Expected,GDP q/q,2.8%,1.1%,1.4%,
2021-09-16T02:30:00+01:00,AUD,High Impact Expected,Employment Change,-146.3K,-78.5K,3.1K,
2021-09-16T02:30:00+01:00,AUD,High Impact Expected,Unemployment Rate,4.5%,5.0%,4.6%,
2021-09-16T13:30:00+01:00,USD,High Impact Expected,Core Retail Sales m/m,1.8%,-0.1%,-1.0%,
2021-09-16T13:30:00+01:00,USD,High Impact Expected,Retail Sales m/m,0.7%,-0.7%,-1.8%,
2021-09-20T23:59:59+01:00,CAD,High Impact Expected,Federal Election,,,,
2021-09-21T02:30:00+01:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,,
2021-09-22T19:00:00+01:00,USD,High Impact Expected,FOMC Economic Projections,,,,
2021-09-22T19:00:00+01:00,USD,High Impact Expected,FOMC Statement,,,,
2021-09-22T19:30:00+01:00,USD,High Impact Expected,FOMC Press Conference,,,,
2021-09-23T08:30:00+01:00,EUR,High Impact Expected,German Flash Manufacturing PMI,58.5,61.3,62.6,
2021-09-23T08:30:00+01:00,EUR,High Impact Expected,German Flash Services PMI,56.0,60.3,60.8,
2021-09-23T08:30:00+01:00,CHF,High Impact Expected,SNB Monetary Policy Assessment,,,,
2021-09-23T09:30:00+01:00,CHF,High Impact Expected,SNB Press Conference,,,,
2021-09-23T12:00:00+01:00,GBP,High Impact Expected,Asset Purchase Facility,875B,875B,875B,
2021-09-23T12:00:00+01:00,GBP,High Impact Expected,Monetary Policy Summary,,,,
2021-09-23T12:00:00+01:00,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,0-2-7,0-1-8,0-1-7,
2021-09-24T15:00:00+01:00,USD,High Impact Expected,Fed Chair Powell Speaks,,,,
2021-09-26T23:59:59+01:00,EUR,High Impact Expected,German Federal Elections,,,,
2021-09-27T16:00:00+01:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-09-28T15:00:00+01:00,USD,High Impact Expected,Fed Chair Powell Testifies,,,,
2021-09-29T16:45:00+01:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-09-29T16:45:00+01:00,USD,High Impact Expected,Fed Chair Powell Speaks,,,,
2021-09-30T15:00:00+01:00,USD,High Impact Expected,Fed Chair Powell Testifies,,,,
2021-10-01T13:30:00+01:00,CAD,High Impact Expected,GDP m/m,-0.1%,-0.2%,0.6%,
2021-10-01T13:30:00+01:00,USD,High Impact Expected,Core PCE Price Index m/m,0.3%,0.2%,0.3%,
2021-10-01T15:00:00+01:00,USD,High Impact Expected,ISM Manufacturing PMI,61.1,59.6,59.9,
2021-10-04T23:59:59+01:00,All,High Impact Expected,OPEC-JMMC Meetings,,,,
2021-10-04T23:59:59+01:00,All,High Impact Expected,OPEC Meetings,,,,
2021-10-05T04:30:00+01:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2021-10-05T15:00:00+01:00,USD,High Impact Expected,ISM Services PMI,61.9,59.9,61.7,
2021-10-06T02:00:00+01:00,NZD,High Impact Expected,Official Cash Rate,0.50%,0.50%,0.25%,
2021-10-06T02:00:00+01:00,NZD,High Impact Expected,RBNZ Rate Statement,,,,
2021-10-06T13:15:00+01:00,USD,High Impact Expected,ADP Non-Farm Employment Change,568K,425K,340K,
2021-10-07T17:00:00+01:00,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,
2021-10-08T13:30:00+01:00,CAD,High Impact Expected,Employment Change,157.1K,59.5K,90.2K,
2021-10-08T13:30:00+01:00,CAD,High Impact Expected,Unemployment Rate,6.9%,6.9%,7.1%,
2021-10-08T13:30:00+01:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.6%,0.4%,0.4%,
2021-10-08T13:30:00+01:00,USD,High Impact Expected,Non-Farm Employment Change,194K,490K,366K,
2021-10-08T13:30:00+01:00,USD,High Impact Expected,Unemployment Rate,4.8%,5.1%,5.2%,
2021-10-13T13:30:00+01:00,USD,High Impact Expected,Core CPI m/m,0.2%,0.2%,0.1%,
2021-10-13T13:30:00+01:00,USD,High Impact Expected,CPI m/m,0.4%,0.3%,0.3%,
2021-10-13T13:30:00+01:00,USD,High Impact Expected,CPI y/y,5.4%,5.3%,5.3%,
2021-10-13T19:00:00+01:00,USD,High Impact Expected,FOMC Meeting Minutes,,,,
2021-10-14T01:30:00+01:00,AUD,High Impact Expected,Employment Change,-138.0K,-108.5K,-146.3K,
2021-10-14T01:30:00+01:00,AUD,High Impact Expected,Unemployment Rate,4.6%,4.8%,4.5%,
2021-10-14T13:30:00+01:00,USD,High Impact Expected,PPI m/m,0.5%,0.6%,0.7%,
2021-10-15T13:30:00+01:00,USD,High Impact Expected,Retail Sales m/m,0.7%,-0.2%,0.9%,
2021-10-15T13:30:00+01:00,USD,High Impact Expected,Core Retail Sales m/m,0.8%,0.5%,2.0%,
2021-10-17T14:05:00+01:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-10-17T22:45:00+01:00,NZD,High Impact Expected,CPI q/q,2.2%,1.5%,1.3%,
2021-10-18T03:00:00+01:00,CNY,High Impact Expected,GDP q/y,4.9%,5.0%,7.9%,
2021-10-19T01:30:00+01:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,,
2021-10-20T07:00:00+01:00,GBP,High Impact Expected,CPI y/y,3.1%,3.2%,3.2%,
2021-10-20T13:30:00+01:00,CAD,High Impact Expected,CPI m/m,0.2%,0.1%,0.2%,
2021-10-21T20:00:00+01:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2021-10-22T08:30:00+01:00,EUR,High Impact Expected,German Flash Services PMI,52.4,55.2,56.2,
2021-10-22T08:30:00+01:00,EUR,High Impact Expected,German Flash Manufacturing PMI,58.2,56.5,58.4,
2021-10-22T16:00:00+01:00,USD,High Impact Expected,Fed Chair Powell Speaks,,,,
2021-10-27T01:30:00+01:00,AUD,High Impact Expected,CPI m/m,0.8%,0.8%,0.8%,
2021-10-27T01:30:00+01:00,AUD,High Impact Expected,Trimmed Mean CPI m/m,0.7%,0.5%,0.5%,
2021-10-27T12:34:00+01:00,GBP,High Impact Expected,Annual Budget Release,,,,
2021-10-27T15:00:00+01:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,,
2021-10-27T15:00:00+01:00,CAD,High Impact Expected,BOC Rate Statement,,,,
2021-10-27T16:00:00+01:00,CAD,High Impact Expected,BOC Press Conference,,,,
2021-10-28T03:45:00+01:00,JPY,High Impact Expected,BOJ Outlook Report,,,,
2021-10-28T12:45:00+01:00,EUR,High Impact Expected,Monetary Policy Statement,,,,
2021-10-28T13:30:00+01:00,USD,High Impact Expected,Advance GDP q/q,2.0%,2.6%,6.7%,
2021-10-28T13:30:00+01:00,EUR,High Impact Expected,ECB Press Conference,,,,
2021-10-29T13:30:00+01:00,USD,High Impact Expected,Core PCE Price Index m/m,0.2%,0.2%,0.3%,
2021-10-29T13:30:00+01:00,CAD,High Impact Expected,GDP m/m,0.4%,0.7%,-0.1%,
2021-11-01T14:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,60.8,60.4,61.1,
2021-11-02T03:30:00+00:00,AUD,High Impact Expected,Cash Rate,0.10%,0.10%,0.10%,
2021-11-02T03:30:00+00:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2021-11-02T05:00:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2021-11-02T21:45:00+00:00,NZD,High Impact Expected,Employment Change q/q,2.0%,0.4%,1.0%,
2021-11-02T21:45:00+00:00,NZD,High Impact Expected,Unemployment Rate,3.4%,3.9%,4.0%,
2021-11-03T12:15:00+00:00,USD,High Impact Expected,ADP Non-Farm Employment Change,571K,400K,523K,
2021-11-03T14:00:00+00:00,USD,High Impact Expected,ISM Services PMI,66.7,61.9,61.9,
2021-11-03T18:00:00+00:00,USD,High Impact Expected,Federal Funds Rate,<0.25%,<0.25%,<0.25%,
2021-11-03T18:00:00+00:00,USD,High Impact Expected,FOMC Statement,,,,
2021-11-03T18:30:00+00:00,USD,High Impact Expected,FOMC Press Conference,,,,
2021-11-04T12:00:00+00:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,2-0-7,0-0-9,0-0-9,
2021-11-04T12:00:00+00:00,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,0-3-6,0-2-7,0-2-7,
2021-11-04T12:00:00+00:00,GBP,High Impact Expected,Monetary Policy Summary,,,,
2021-11-04T12:00:00+00:00,GBP,High Impact Expected,Official Bank Rate,0.10%,0.10%,0.10%,
2021-11-04T12:00:00+00:00,GBP,High Impact Expected,Asset Purchase Facility,875B,875B,875B,
2021-11-04T12:00:00+00:00,GBP,High Impact Expected,BOE Monetary Policy Report,,,,
2021-11-04T12:30:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-11-04T23:59:59+00:00,All,High Impact Expected,OPEC-JMMC Meetings,,,,
2021-11-05T12:30:00+00:00,CAD,High Impact Expected,Employment Change,31.2K,42.0K,157.1K,
2021-11-05T12:30:00+00:00,CAD,High Impact Expected,Unemployment Rate,6.7%,6.8%,6.9%,
2021-11-05T12:30:00+00:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.4%,0.4%,0.6%,
2021-11-05T12:30:00+00:00,USD,High Impact Expected,Non-Farm Employment Change,531K,455K,312K,
2021-11-05T12:30:00+00:00,USD,High Impact Expected,Unemployment Rate,4.6%,4.7%,4.8%,
2021-11-08T15:30:00+00:00,USD,High Impact Expected,Fed Chair Powell Speaks,,,,
2021-11-08T17:00:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-11-09T13:30:00+00:00,USD,High Impact Expected,PPI m/m,0.6%,0.6%,0.5%,
2021-11-09T14:00:00+00:00,USD,High Impact Expected,Fed Chair Powell Speaks,,,,
2021-11-09T16:00:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-11-09T22:45:00+00:00,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,
2021-11-10T13:30:00+00:00,USD,High Impact Expected,Core CPI m/m,0.6%,0.4%,0.2%,
2021-11-10T13:30:00+00:00,USD,High Impact Expected,CPI m/m,0.9%,0.6%,0.4%,
2021-11-10T13:30:00+00:00,USD,High Impact Expected,CPI y/y,6.2%,5.9%,5.4%,
2021-11-11T00:30:00+00:00,AUD,High Impact Expected,Employment Change,-46.3K,50.0K,-141.1K,
2021-11-11T00:30:00+00:00,AUD,High Impact Expected,Unemployment Rate,5.2%,4.8%,4.6%,
2021-11-15T14:30:00+00:00,GBP,High Impact Expected,Monetary Policy Report Hearings,,,,
2021-11-16T00:30:00+00:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,,
2021-11-16T02:30:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2021-11-16T13:30:00+00:00,USD,High Impact Expected,Core Retail Sales m/m,1.7%,1.0%,0.7%,
2021-11-16T13:30:00+00:00,USD,High Impact Expected,Retail Sales m/m,1.7%,1.3%,0.8%,
2021-11-17T07:00:00+00:00,GBP,High Impact Expected,CPI y/y,4.2%,3.9%,3.1%,
2021-11-17T13:30:00+00:00,CAD,High Impact Expected,CPI m/m,0.7%,0.7%,0.2%,
2021-11-23T08:30:00+00:00,EUR,High Impact Expected,German Flash Manufacturing PMI,57.6,57.0,57.8,
2021-11-23T08:30:00+00:00,EUR,High Impact Expected,German Flash Services PMI,53.4,51.4,52.4,
2021-11-24T01:00:00+00:00,NZD,High Impact Expected,RBNZ Rate Statement,,,,
2021-11-24T01:00:00+00:00,NZD,High Impact Expected,Official Cash Rate,0.75%,0.75%,0.50%,
2021-11-24T01:00:00+00:00,NZD,High Impact Expected,RBNZ Monetary Policy Statement,,,,
2021-11-24T02:00:00+00:00,NZD,High Impact Expected,RBNZ Press Conference,,,,
2021-11-24T13:30:00+00:00,USD,High Impact Expected,Prelim GDP q/q,2.1%,2.2%,2.0%,
2021-11-24T15:00:00+00:00,USD,High Impact Expected,Core PCE Price Index m/m,0.4%,0.4%,0.2%,
2021-11-24T19:00:00+00:00,USD,High Impact Expected,FOMC Meeting Minutes,,,,
2021-11-25T17:00:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-11-29T19:00:00+00:00,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,
2021-11-30T13:30:00+00:00,CAD,High Impact Expected,GDP m/m,0.1%,0.0%,0.6%,
2021-11-30T15:00:00+00:00,USD,High Impact Expected,Fed Chair Powell Testifies,,,,
2021-12-01T00:30:00+00:00,AUD,High Impact Expected,GDP q/q,-1.9%,-2.7%,0.7%,
2021-12-01T13:15:00+00:00,USD,High Impact Expected,ADP Non-Farm Employment Change,534K,525K,570K,
2021-12-01T14:00:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-12-01T15:00:00+00:00,USD,High Impact Expected,Fed Chair Powell Testifies,,,,
2021-12-01T15:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,61.1,61.3,60.8,
2021-12-01T23:59:59+00:00,All,High Impact Expected,OPEC Meetings,,,,
2021-12-02T23:59:59+00:00,All,High Impact Expected,OPEC-JMMC Meetings,,,,
2021-12-03T11:00:00+00:00,GBP,High Impact Expected,MPC Member Saunders Speaks,,,,
2021-12-03T13:30:00+00:00,CAD,High Impact Expected,Employment Change,153.7K,36.5K,31.2K,
2021-12-03T13:30:00+00:00,CAD,High Impact Expected,Unemployment Rate,6.0%,6.6%,6.7%,
2021-12-03T13:30:00+00:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.3%,0.4%,0.4%,
2021-12-03T13:30:00+00:00,USD,High Impact Expected,Non-Farm Employment Change,210K,553K,546K,
2021-12-03T13:30:00+00:00,USD,High Impact Expected,Unemployment Rate,4.2%,4.5%,4.6%,
2021-12-03T14:00:00+00:00,USD,High Impact Expected,Treasury Currency Report,,,,
2021-12-03T15:00:00+00:00,USD,High Impact Expected,ISM Services PMI,69.1,64.9,66.7,
2021-12-06T11:30:00+00:00,GBP,High Impact Expected,MPC Member Broadbent Speaks,,,,
2021-12-07T03:30:00+00:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2021-12-07T03:30:00+00:00,AUD,High Impact Expected,Cash Rate,0.10%,0.10%,0.10%,
2021-12-08T15:00:00+00:00,CAD,High Impact Expected,BOC Rate Statement,,,,
2021-12-08T15:00:00+00:00,CAD,High Impact Expected,Overnight Rate,0.25%,0.25%,0.25%,
2021-12-08T15:00:00+00:00,USD,High Impact Expected,JOLTS Job Openings,11.03M,10.45M,10.60M,
2021-12-08T22:05:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2021-12-10T13:30:00+00:00,USD,High Impact Expected,Core CPI m/m,0.5%,0.5%,0.6%,
2021-12-10T13:30:00+00:00,USD,High Impact Expected,CPI m/m,0.8%,0.7%,0.9%,
2021-12-10T13:30:00+00:00,USD,High Impact Expected,CPI y/y,6.8%,6.8%,6.2%,
2021-12-13T16:00:00+00:00,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,
2021-12-13T17:00:00+00:00,GBP,High Impact Expected,Bank Stress Test Results,,,,
2021-12-13T18:00:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2021-12-14T13:30:00+00:00,USD,High Impact Expected,PPI m/m,0.8%,0.5%,0.6%,
2021-12-14T19:00:00+00:00,NZD,High Impact Expected,RBNZ Gov Orr Speaks,,,,
2021-12-15T07:00:00+00:00,GBP,High Impact Expected,CPI y/y,5.1%,4.8%,4.2%,
2021-12-15T13:30:00+00:00,USD,High Impact Expected,Core Retail Sales m/m,0.3%,0.9%,1.8%,
2021-12-15T13:30:00+00:00,USD,High Impact Expected,Retail Sales m/m,0.3%,0.8%,1.8%,
2021-12-15T13:32:00+00:00,CAD,High Impact Expected,CPI m/m,0.2%,0.2%,0.7%,
2021-12-15T17:00:00+00:00,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,
2021-12-15T19:00:00+00:00,USD,High Impact Expected,Federal Funds Rate,<0.25%,<0.25%,<0.25%,
2021-12-15T19:00:00+00:00,USD,High Impact Expected,FOMC Economic Projections,,,,
2021-12-15T19:00:00+00:00,USD,High Impact Expected,FOMC Statement,,,,
2021-12-15T19:30:00+00:00,USD,High Impact Expected,FOMC Press Conference,,,,
2021-12-15T21:45:00+00:00,NZD,High Impact Expected,GDP q/q,-3.7%,-4.1%,2.4%,
2021-12-15T23:30:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2021-12-16T00:30:00+00:00,AUD,High Impact Expected,Employment Change,366.1K,203.0K,-56.0K,
2021-12-16T00:30:00+00:00,AUD,High Impact Expected,Unemployment Rate,4.6%,5.0%,5.2%,
2021-12-16T08:30:00+00:00,EUR,High Impact Expected,German Flash Services PMI,48.4,50.9,52.7,
2021-12-16T08:30:00+00:00,CHF,High Impact Expected,SNB Monetary Policy Assessment,,,,
2021-12-16T08:30:00+00:00,EUR,High Impact Expected,German Flash Manufacturing PMI,57.9,57.0,57.4,
2021-12-16T09:00:00+00:00,CHF,High Impact Expected,SNB Press Conference,,,,
2021-12-16T12:00:00+00:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,8-0-1,2-0-7,2-0-7,
2021-12-16T12:00:00+00:00,GBP,High Impact Expected,Asset Purchase Facility,875B,875B,875B,
2021-12-16T12:00:00+00:00,GBP,High Impact Expected,Monetary Policy Summary,,,,
2021-12-16T12:00:00+00:00,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,0-0-9,0-3-6,0-3-6,
2021-12-16T12:00:00+00:00,GBP,High Impact Expected,Official Bank Rate,0.25%,0.10%,0.10%,
2021-12-16T12:45:00+00:00,EUR,High Impact Expected,Monetary Policy Statement,,,,
2021-12-16T12:45:00+00:00,EUR,High Impact Expected,Main Refinancing Rate,0.00%,0.00%,0.00%,
2021-12-16T13:30:00+00:00,EUR,High Impact Expected,ECB Press Conference,,,,
2021-12-21T00:30:00+00:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,,
2021-12-23T13:30:00+00:00,CAD,High Impact Expected,GDP m/m,0.8%,0.8%,0.2%,
2021-12-23T13:30:00+00:00,USD,High Impact Expected,Core PCE Price Index m/m,0.5%,0.4%,0.5%,
2022-01-04T15:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,58.7,60.0,61.1,
2022-01-04T15:00:00+00:00,USD,High Impact Expected,JOLTS Job Openings,10.56M,11.06M,11.09M,
2022-01-04T23:59:59+00:00,All,High Impact Expected,OPEC-JMMC Meetings,,,,
2022-01-05T13:15:00+00:00,USD,High Impact Expected,ADP Non-Farm Employment Change,807K,405K,505K,
2022-01-05T19:00:00+00:00,USD,High Impact Expected,FOMC Meeting Minutes,,,,
2022-01-06T15:00:00+00:00,USD,High Impact Expected,ISM Services PMI,62.0,67.0,69.1,
2022-01-07T13:30:00+00:00,USD,High Impact Expected,Unemployment Rate,3.9%,4.1%,4.2%,
2022-01-07T13:30:00+00:00,CAD,High Impact Expected,Employment Change,54.7K,24.5K,153.7K,
2022-01-07T13:30:00+00:00,CAD,High Impact Expected,Unemployment Rate,5.9%,6.0%,6.0%,
2022-01-07T13:30:00+00:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.6%,0.4%,0.4%,
2022-01-07T13:30:00+00:00,USD,High Impact Expected,Non-Farm Employment Change,199K,426K,249K,
2022-01-11T15:00:00+00:00,USD,High Impact Expected,Fed Chair Powell Testifies,,,,
2022-01-12T13:30:00+00:00,USD,High Impact Expected,Core CPI m/m,0.6%,0.5%,0.5%,
2022-01-12T13:30:00+00:00,USD,High Impact Expected,CPI m/m,0.5%,0.4%,0.8%,
2022-01-12T13:30:00+00:00,USD,High Impact Expected,CPI y/y,7.0%,7.0%,6.8%,
2022-01-13T13:30:00+00:00,USD,High Impact Expected,PPI m/m,0.2%,0.4%,0.8%,
2022-01-14T13:30:00+00:00,USD,High Impact Expected,Core Retail Sales m/m,-2.3%,0.2%,0.1%,
2022-01-14T13:30:00+00:00,USD,High Impact Expected,Retail Sales m/m,-1.9%,0.0%,0.2%,
2022-01-17T02:00:00+00:00,CNY,High Impact Expected,GDP q/y,4.0%,3.3%,4.9%,
2022-01-18T02:45:00+00:00,JPY,High Impact Expected,BOJ Outlook Report,,,,
2022-01-19T07:00:00+00:00,GBP,High Impact Expected,CPI y/y,5.4%,5.2%,5.1%,
2022-01-19T13:30:00+00:00,CAD,High Impact Expected,CPI m/m,-0.1%,-0.1%,0.2%,
2022-01-19T14:15:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2022-01-20T00:30:00+00:00,AUD,High Impact Expected,Employment Change,64.8K,60.0K,366.1K,
2022-01-20T00:30:00+00:00,AUD,High Impact Expected,Unemployment Rate,4.2%,4.5%,4.6%,
2022-01-24T08:30:00+00:00,EUR,High Impact Expected,German Flash Manufacturing PMI,60.5,56.9,57.4,
2022-01-24T08:30:00+00:00,EUR,High Impact Expected,German Flash Services PMI,52.2,47.9,48.7,
2022-01-25T00:30:00+00:00,AUD,High Impact Expected,CPI m/m,1.3%,1.0%,0.8%,
2022-01-25T00:30:00+00:00,AUD,High Impact Expected,Trimmed Mean CPI m/m,1.0%,0.7%,0.7%,
2022-01-26T15:00:00+00:00,CAD,High Impact Expected,BOC Rate Statement,,,,
2022-01-26T15:00:00+00:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,,
2022-01-26T15:00:00+00:00,CAD,High Impact Expected,Overnight Rate,0.25%,0.25%,0.25%,
2022-01-26T16:00:00+00:00,CAD,High Impact Expected,BOC Press Conference,,,,
2022-01-26T19:00:00+00:00,USD,High Impact Expected,Federal Funds Rate,<0.25%,<0.25%,<0.25%,
2022-01-26T19:00:00+00:00,USD,High Impact Expected,FOMC Statement,,,,
2022-01-26T19:30:00+00:00,USD,High Impact Expected,FOMC Press Conference,,,,
2022-01-26T21:45:00+00:00,NZD,High Impact Expected,CPI q/q,1.4%,1.3%,2.2%,
2022-01-27T13:30:00+00:00,USD,High Impact Expected,Advance GDP q/q,6.9%,5.3%,2.3%,
2022-01-28T13:30:00+00:00,USD,High Impact Expected,Core PCE Price Index m/m,0.5%,0.5%,0.5%,
2022-02-01T03:30:00+00:00,AUD,High Impact Expected,Cash Rate,0.10%,0.10%,0.10%,
2022-02-01T03:30:00+00:00,AUD,High Impact Expected,RBA Rate Statement,,,,
2022-02-01T13:30:00+00:00,CAD,High Impact Expected,GDP m/m,0.6%,0.4%,0.8%,
2022-02-01T15:00:00+00:00,USD,High Impact Expected,JOLTS Job Openings,10.93M,10.35M,10.78M,
2022-02-01T15:00:00+00:00,USD,High Impact Expected,ISM Manufacturing PMI,57.6,57.4,58.7,
2022-02-01T21:45:00+00:00,NZD,High Impact Expected,Employment Change q/q,0.1%,0.4%,1.9%,
2022-02-01T21:45:00+00:00,NZD,High Impact Expected,Unemployment Rate,3.2%,3.3%,3.3%,
2022-02-02T01:30:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2022-02-02T13:15:00+00:00,USD,High Impact Expected,ADP Non-Farm Employment Change,-301K,185K,776K,
2022-02-02T20:00:00+00:00,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,
2022-02-02T23:59:59+00:00,All,High Impact Expected,OPEC-JMMC Meetings,,,,
2022-02-03T12:00:00+00:00,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.25%,
2022-02-03T12:00:00+00:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,9-0-0,7-0-2,8-0-1,
2022-02-03T12:00:00+00:00,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,,0-0-9,0-0-9,
2022-02-03T12:00:00+00:00,GBP,High Impact Expected,Asset Purchase Facility,,875B,875B,
2022-02-03T12:00:00+00:00,GBP,High Impact Expected,BOE Monetary Policy Report,,,,
2022-02-03T12:00:00+00:00,GBP,High Impact Expected,Monetary Policy Summary,,,,
2022-02-03T12:30:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2022-02-03T12:45:00+00:00,EUR,High Impact Expected,Main Refinancing Rate,0.00%,0.00%,0.00%,
2022-02-03T12:45:00+00:00,EUR,High Impact Expected,Monetary Policy Statement,,,,
2022-02-03T13:30:00+00:00,EUR,High Impact Expected,ECB Press Conference,,,,
2022-02-03T15:00:00+00:00,USD,High Impact Expected,ISM Services PMI,59.9,59.5,62.0,
2022-02-04T13:30:00+00:00,CAD,High Impact Expected,Employment Change,-200.1K,-121.5K,54.7K,
2022-02-04T13:30:00+00:00,CAD,High Impact Expected,Unemployment Rate,6.5%,6.3%,5.9%,
2022-02-04T13:30:00+00:00,USD,High Impact Expected,Average Hourly Earnings m/m,0.7%,0.5%,0.5%,
2022-02-04T13:30:00+00:00,USD,High Impact Expected,Non-Farm Employment Change,467K,110K,510K,
2022-02-04T13:30:00+00:00,USD,High Impact Expected,Unemployment Rate,4.0%,3.9%,3.9%,
2022-02-09T17:00:00+00:00,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,,
2022-02-10T13:30:00+00:00,USD,High Impact Expected,CPI m/m,0.6%,0.4%,0.5%,
2022-02-10T13:30:00+00:00,USD,High Impact Expected,CPI y/y,7.5%,7.2%,7.0%,
2022-02-10T13:30:00+00:00,USD,High Impact Expected,Core CPI m/m,0.6%,0.5%,0.6%,
2022-02-10T17:00:00+00:00,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,,
2022-02-10T22:30:00+00:00,AUD,High Impact Expected,RBA Gov Lowe Speaks,,,,
2022-02-14T13:30:00+00:00,USD,High Impact Expected,FOMC Member Bullard Speaks,,,,
2022-02-15T00:30:00+00:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,,
2022-02-15T13:30:00+00:00,USD,High Impact Expected,PPI m/m,1.0%,0.5%,0.2%,
